original name,filename,isTarget,isOverlap,url,imageID
2010 Saad 10.1109/TVCG.2010.152 c 3.png,sci825.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci825.png,I40
2010 Saad 10.1109/TVCG.2010.152 c 4.png,sci826.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci826.png,I41
2010 Saad 10.1109/TVCG.2010.152 c 7.png,sci829.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci829.png,I42
2010 Tikhonova 10.1109/TVCG.2010.215a 13.png,sci872.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci872.png,I43
2010 Tikhonova 10.1109/TVCG.2010.215a c 1.png,sci874.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci874.png,I44
2010 Zeng 10.1109/TVCG.2010.200 c 18.png,sci915.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci915.png,I45
2010 Zhang 10.1109/TVCG.2010.221 c 7.png,sci930.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci930.png,I46
2011 Chen 10.1109/TVCG.2011.164 c 3.png,sci943.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci943.png,I47
2011 Chen 10.1109/TVCG.2011.164 c 7.png,sci947.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci947.png,I48
2011 Dick 10.1109/TVCG.2011.189 c 7.png,sci971.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci971.png,I49
2011 Gasteiger 10.1109/TVCG.2011.243 c 7.png,sci981.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci981.png,I50
2011 Koehler 10.1109/TVCG.2011.260 c 20.png,sci1046.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1046.png,I51
2011 Koehler 10.1109/TVCG.2011.260 c 5.png,sci1050.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1050.png,I52
2011 Rieder 10.1109/TVCG.2011.207 c 2.png,sci1115.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1115.png,I53
2011 Rieder 10.1109/TVCG.2011.207 c 4.png,sci1117.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1117.png,I54
